ticker,wall_ns,side_id,level,tte_bucket,asset,asset_id,source,quality_tier,has_rti,has_tick,has_book_quote,has_valid_tte,has_valid_prices,has_valid_spread,rti_join_lag_ms,tick_join_lag_ms,wall_time_utc,hour_utc,day_of_week_utc,side,tte_s,yes_bid,yes_ask,no_bid,no_ask,entry_cost,market_implied_yes_ask,kalshi_spread,tick_spread,microprice_x1000,imbalance_x10000,yes_bid_qty,no_bid_qty,book_seq,cb_mid_cents,signal_rvol_1m_microbps,signal_rvol_5m_microbps,signal_strike_dist_bps,volume,rti_cents,rti_vs_strike_bps,rti_abs_vs_strike_bps,rti_change_5s,rti_change_15s,rti_change_30s,rti_change_60s,consolidated_bid_cents,consolidated_ask_cents,median_mid_cents,floor_strike_cents,eligible_venues,published,utilized_depth_lots,dynamic_cap_lots,result_yes,won,fee_cents,pnl_cents,_is_clean,_reject_reasons,trade_last_age_s,trade_last_yes_price,trade_last_no_price,trade_30s_count,trade_30s_volume,trade_30s_vwap_yes,trade_30s_vwap_no,trade_30s_yes_taker_vol,trade_30s_no_taker_vol,trade_30s_net_yes_pressure,trade_30s_yes_taker_share,trade_30s_avg_size,trade_30s_signal_side_pressure,trade_30s_entry_vs_vwap,trade_30s_signal_side_vwap_edge,trade_60s_count,trade_60s_volume,trade_60s_vwap_yes,trade_60s_vwap_no,trade_60s_yes_taker_vol,trade_60s_no_taker_vol,trade_60s_net_yes_pressure,trade_60s_yes_taker_share,trade_60s_avg_size,trade_60s_signal_side_pressure,trade_60s_entry_vs_vwap,trade_60s_signal_side_vwap_edge,trade_300s_count,trade_300s_volume,trade_300s_vwap_yes,trade_300s_vwap_no,trade_300s_yes_taker_vol,trade_300s_no_taker_vol,trade_300s_net_yes_pressure,trade_300s_yes_taker_share,trade_300s_avg_size,trade_300s_signal_side_pressure,trade_300s_entry_vs_vwap,trade_300s_signal_side_vwap_edge,trade_900s_count,trade_900s_volume,trade_900s_vwap_yes,trade_900s_vwap_no,trade_900s_yes_taker_vol,trade_900s_no_taker_vol,trade_900s_net_yes_pressure,trade_900s_yes_taker_share,trade_900s_avg_size,trade_900s_signal_side_pressure,trade_900s_entry_vs_vwap,trade_900s_signal_side_vwap_edge,trade_has_prior,trade_30s_price_momentum,trade_60s_price_momentum,trade_300s_price_momentum,trade_900s_price_momentum,trade_volume_burst_30s_vs_5m,trade_count_burst_30s_vs_5m,trade_pressure_accel_30s_vs_5m,trade_staleness_penalty,day_utc
KXXRP15M-26APR292015-15,1777507706258529280,0,88,4,XRP,2,signals,B,0,1,1,1,1,1,,2002.976512,2026-04-30T00:08:26.258529+00:00,0,3,YES,393,93,96,4,7,96,0.96,3.0,3.0,95400.0,6000.0,4.0,1.0,14499,137.0,0.0,0.0,0.0,1188.0,,,,,,,,,,,136.0,,,,,1,1,1,3,1,,6.36728028,95.0,5.0,3.0,13.399999999999975,92.19402985074652,7.805970149253771,4.0,9.399999999999975,-5.399999999999999,0.2985074626865677,4.466666666666659,-5.399999999999999,3.805970149253469,-3.805970149253469,18.0,110.46999999999996,83.68009414320639,16.31990585679371,78.0,32.46999999999997,45.53,0.706074047252648,6.137222222222221,45.53,12.31990585679361,-12.31990585679361,64.0,398.91,78.54769246195886,21.45230753804117,204.7,194.21,10.489999999999997,0.5131483291970619,6.23296875,10.489999999999997,17.45230753804114,-17.45230753804114,102.0,594.21,78.62691641002341,21.373083589976613,279.5,314.71,-35.21000000000001,0.4703724272563571,5.825588235294118,-35.21000000000001,17.373083589976588,-17.373083589976588,1,4.0,21.0,10.0,25.0,0.0335915369381564,0.046875,-6.448999999999998,0.1357353001371083,2026-04-30
KXXRP15M-26APR292015-15,1777507727256094976,0,86,4,XRP,2,signals,B,0,1,1,1,1,1,,1998.780416,2026-04-30T00:08:47.256095+00:00,0,3,YES,372,94,96,4,6,96,0.96,2.0,-1.0,-1.0,0.0,0.0,0.0,15042,137.0,0.0,600.0,0.0,1504.0,,,,,,,,,,,136.0,,,,,1,1,1,3,1,,0.115928976,95.0,5.0,6.0,161.95000000000005,95.01234949058347,4.987650509416485,161.95,0.0,161.95,0.9999999999999996,26.991666666666674,161.95,0.9876505094165112,-0.9876505094165112,9.0,176.0,94.60539772727276,5.394602272727277,162.95,13.049999999999956,149.89999999999998,0.9258522727272728,19.55555555555556,149.89999999999998,1.394602272727255,-1.394602272727255,66.0,554.84,83.20652800807441,16.793471991925603,360.63,194.21,166.42,0.6499711628577608,8.406666666666666,166.42,12.793471991925584,-12.793471991925584,106.0,752.1600000000001,82.06784460753032,17.932155392469692,437.45,314.71,122.73999999999998,0.5815916826207189,7.095849056603774,122.73999999999998,13.93215539246968,-13.93215539246968,1,0.0,9.0,10.0,25.0,0.291885949102444,0.0909090909090909,145.308,0.8961143778024813,2026-04-30
KXXRP15M-26APR292015-15,1777507739259906816,0,88,4,XRP,2,signals,B,0,1,1,1,1,1,,1004.024576,2026-04-30T00:08:59.259907+00:00,0,3,YES,360,90,96,4,10,96,0.96,6.0,-1.0,-1.0,0.0,0.0,0.0,15042,137.0,0.0,0.0,0.0,1552.0,,,,,,,,,,,136.0,,,,,1,1,1,3,1,,5.356580816,95.3,4.7,5.0,180.92000000000007,94.90144815388012,5.098551846119822,176.92000000000002,4.0,172.92,0.9778907804554496,36.18400000000001,172.92,1.098551846119875,-1.098551846119875,10.0,195.35,94.7215254671103,5.278474532889683,181.95,13.399999999999975,168.54999999999998,0.93140517020732,19.535000000000004,168.54999999999998,1.2784745328897031,-1.2784745328897031,67.0,558.84,83.58897000930502,16.411029990695017,360.63,198.21,162.42,0.6453188748121108,8.34089552238806,162.42,12.411029990694985,-12.411029990694985,109.0,776.1600000000001,82.44350391671821,17.5564960832818,457.45,318.71,138.73999999999998,0.5893759018759018,7.12073394495413,138.73999999999998,13.556496083281786,-13.556496083281786,1,-0.7000000000000028,4.299999999999997,14.299999999999995,25.3,0.323742037076802,0.0746268656716417,156.678,0.1573172793591994,2026-04-30
KXSOL15M-26APR292015-15,1777507773258292736,0,94,4,SOL,3,signals,B,0,1,1,1,1,1,,995.003136,2026-04-30T00:09:33.258293+00:00,0,3,YES,326,86,94,6,14,94,0.94,8.0,8.0,87142.0,-7142.0,1.0,6.0,1,8316.0,0.0,7.0,18.0,4079.0,,,,,,,,,,,8301.0,,,,,1,1,1,5,1,,0.270451736,94.0,6.0,27.0,131.60000000000014,93.05851063829778,6.941489361702065,100.0,31.600000000000023,68.4,0.7598784194528867,4.87407407407408,68.4,0.9414893617022244,-0.9414893617022244,31.0,160.60000000000014,93.45080946450793,6.54919053549185,129.0000000000001,31.600000000000023,97.4,0.8032378580323786,5.180645161290327,97.4,0.5491905354920874,-0.5491905354920874,145.0,1238.1800000000003,87.32683212456992,12.67316787543006,770.5200000000003,467.66,302.8599999999999,0.6223004732752913,8.539172413793105,302.8599999999999,6.673167875430082,-6.673167875430082,241.0,2039.56,84.29374816136813,15.70625183863186,1142.6200000000003,896.9399999999999,245.67999999999992,0.5602286767734218,8.462904564315354,245.67999999999992,9.706251838631871,-9.706251838631871,1,-0.5999999999999943,-0.7999999999999972,11.0,35.0,0.1062850312555526,0.1862068965517241,38.11400000000002,0.7871215975102576,2026-04-30
KXSOL15M-26APR292015-15,1777507815258303744,0,89,3,SOL,3,signals,B,0,1,1,1,1,1,,994.2784,2026-04-30T00:10:15.258304+00:00,0,3,YES,284,92,98,2,8,97,0.98,6.0,6.0,92857.0,-7142.0,1.0,6.0,1,8318.0,16.0,10.0,20.0,5710.0,,,,,,,,,,,8301.0,,,,,1,1,1,2,1,,0.728220744,92.2,7.8,25.0,755.73,96.93114736744602,3.068852632553952,606.0,149.7299999999999,456.27,0.8018736850462467,30.2292,456.27,0.068852632553984,-0.068852632553984,47.0,907.3000000000002,96.02387964289647,3.976120357103489,676.0,231.29999999999995,444.7,0.745067783533561,19.30425531914894,444.7,0.9761203571035252,-0.9761203571035252,170.0,2032.9700000000005,91.05120734688656,8.94879265311342,1374.7800000000002,658.1899999999999,716.5899999999999,0.6762421481871351,11.95864705882353,716.5899999999999,5.948792653113443,-5.948792653113443,271.0,2855.26,87.7598968220057,12.240103177994296,1758.6200000000003,1096.64,661.9799999999999,0.6159228931866101,10.536014760147602,661.9799999999999,9.2401031779943,-9.2401031779943,1,-3.799999999999997,-2.799999999999997,20.200000000000003,33.2,0.3717369169244995,0.1470588235294117,384.611,0.5786297864273292,2026-04-30
KXXRP15M-26APR292015-15,1777507848259371008,0,95,3,XRP,2,signals,B,0,1,1,1,1,1,,999.077376,2026-04-30T00:10:48.259371+00:00,0,3,YES,251,91,96,4,9,96,0.96,5.0,-1.0,-1.0,0.0,0.0,0.0,22556,137.0,0.0,0.0,0.0,1869.0,,,,,,,,,,,136.0,,,,,1,1,1,3,1,,14.333491008,96.7,3.3000000000000003,2.0,2.0,96.34999999999854,3.649999999999636,2.0,0.0,2.0,1.0,1.0,2.0,-0.3499999999985448,0.3499999999985448,6.0,54.75,88.57059360730604,11.429406392694034,17.0,37.75,-20.75,0.3105022831050228,9.125,-20.75,7.429406392693963,-7.429406392693963,59.0,594.3700000000001,85.89987718088061,14.1001228191194,323.09,271.28,51.80999999999999,0.5435839628514224,10.074067796610173,51.80999999999999,10.100122819119392,-10.100122819119392,122.0,934.68,83.60521247913726,16.394787520862756,474.45,460.23,14.219999999999985,0.5076068814995506,7.661311475409836,14.219999999999985,12.394787520862735,-12.394787520862735,1,0.7000000000000028,10.700000000000005,15.700000000000005,26.700000000000003,0.0033649073809243,0.0338983050847457,-3.180999999999999,0.0652167206723026,2026-04-30
KXSOL15M-26APR292015-15,1777507849264316672,0,89,3,SOL,3,signals,B,0,1,1,1,1,1,,2996.015872,2026-04-30T00:10:49.264317+00:00,0,3,YES,250,94,98,2,6,97,0.98,4.0,4.0,94571.0,-7142.0,1.0,6.0,1,8319.0,0.0,7.0,21.0,7170.0,,,,,,,,,,,8301.0,,,,,1,1,1,2,1,,0.082188672,97.9,2.1,15.0,423.8699999999999,96.33389718545769,3.6661028145421977,221.73,202.1400000000001,19.590000000000032,0.5231085002477176,28.257999999999992,19.590000000000032,0.6661028145423131,-0.6661028145423131,44.0,1486.6,96.9607325440602,3.039267455939728,977.73,508.87,468.86,0.6576954123503297,33.78636363636363,468.86,0.0392674559397931,-0.0392674559397931,183.0,2736.7000000000003,92.78315927942408,7.216840720575875,1731.5000000000002,1005.2,726.3,0.6326963130777944,14.95464480874317,726.3,4.216840720575917,-4.216840720575917,290.0,3586.13,89.64130469336023,10.358695306639747,2130.3500000000004,1455.78,674.5699999999999,0.5940526417056828,12.36596551724138,674.5699999999999,7.358695306639774,-7.358695306639774,1,5.299999999999983,1.8999999999999917,26.89999999999999,38.89999999999999,0.1548836189571381,0.081967213114754,-53.03999999999997,0.9240532874474592,2026-04-30
KXSOL15M-26APR292015-15,1777507865256747776,0,91,3,SOL,3,signals,B,0,1,1,1,1,1,,999.757568,2026-04-30T00:11:05.256748+00:00,0,3,YES,234,96,98,2,4,98,0.98,2.0,2.0,96285.0,-7142.0,1.0,6.0,1,8318.0,0.0,7.0,20.0,7795.0,,,,,,,,,,,8301.0,,,,,1,1,1,1,1,,9.354483776,99.0,1.0,24.0,687.6300000000001,97.15876561522894,2.8412343847708805,428.73,258.9000000000001,169.83000000000004,0.6234893765542515,28.651250000000005,169.83000000000004,0.8412343847710559,-0.8412343847710559,37.0,1072.08,97.12486941273028,2.8751305872696094,580.73,491.35000000000014,89.38,0.5416853219908963,28.975135135135133,89.38,0.8751305872697088,-0.8751305872697088,192.0,3030.0600000000004,93.3912717899975,6.608728210002441,1933.5,1096.56,836.9399999999999,0.6381061761153244,15.7815625,836.9399999999999,4.608728210002496,-4.608728210002496,302.0,3897.61,90.27890861322705,9.72109138677292,2339.3500000000004,1558.26,781.0899999999999,0.6002011489092034,12.905993377483444,781.0899999999999,7.721091386772954,-7.721091386772954,1,0.4000000000000057,1.0,18.0,40.0,0.226936100275242,0.125,86.13600000000005,0.0965765190842093,2026-04-30
KXXRP15M-26APR292015-15,1777507879262337536,0,91,3,XRP,2,signals,B,0,1,1,1,1,1,,994.646272,2026-04-30T00:11:19.262337+00:00,0,3,YES,220,76,92,8,24,92,0.92,16.0,16.0,91529.0,9411.0,99.0,3.0,24862,137.0,0.0,600.0,0.0,1931.0,,,,,,,,,,,136.0,,,,,1,1,1,7,1,,2.140108536,83.0,17.0,5.0,31.0,83.70645161290304,16.293548387096784,2.0,29.0,-27.0,0.064516129032258,6.2,-27.0,8.293548387096962,-8.293548387096962,7.0,33.0,84.47272727272701,15.527272727272717,4.0,29.0,-25.0,0.1212121212121212,4.714285714285714,-25.0,7.527272727272987,-7.527272727272987,55.0,570.07,86.83300296454823,13.166997035451784,306.71,263.36,43.34999999999999,0.5380216464644691,10.364909090909093,43.34999999999999,5.166997035451772,-5.166997035451772,127.0,965.68,83.60846243061886,16.39153756938116,476.45,489.23,-12.780000000000015,0.4933829011680887,7.603779527559055,-12.780000000000015,8.391537569381143,-8.391537569381143,1,-13.899999999999991,-13.0,11.0,13.0,0.0543792867542582,0.0909090909090909,-31.335,0.3184603298056191,2026-04-30
KXBTC15M-26APR292015-15,1777507882630165760,1,93,3,BTC,0,signals,B,0,1,1,1,1,1,,1001.86112,2026-04-30T00:11:22.630166+00:00,0,3,NO,217,6,6,94,94,94,0.06,0.0,0.0,6000.0,7528.0,546.0,77.0,4464,7568856.0,0.0,0.0,-10.0,473324.0,,,,,,,,,,,7576806.0,,,,,0,1,1,5,1,,0.17449076,6.1,93.9,399.0,15286.209999999965,13.212589255282747,86.78741074471749,10974.93999999993,4311.270000000019,6663.6700000000055,0.7179634454845221,38.31130325814527,-6663.6700000000055,80.78741074471725,-7.212589255282509,696.0,24921.549999999872,19.830942056172493,80.16905794382802,14131.219999999988,10790.330000000044,3340.889999999996,0.5670281342853899,35.8068247126435,-3340.889999999996,74.16905794382751,-13.830942056171978,3438.0,123168.47000000007,42.819832250900106,57.18016774909984,61769.43999999992,61399.02999999982,370.4099999999744,0.5015036721654484,35.82561663758001,-370.4099999999744,51.18016774909989,-36.81983225090016,6867.0,236662.25,53.59457266209559,46.40542733790443,114064.57999999991,122597.6699999998,-8533.09000000006,0.4819720086325552,34.46370321829037,8533.09000000006,40.40542733790441,-47.59457266209557,1,-20.9,-23.9,-50.89999999999999,-47.9,0.124108142286739,0.1160558464223385,-6626.629000000008,0.8514328371557388,2026-04-30
