asset,tte_bucket,threshold,opportunities,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown,status
BTC,0,0.0,4791,2060.0,-1568.0,-0.7611650485436893,0.220873786407767,-2070.0,candidate
BTC,0,0.005,4791,1992.0,-1636.0,-0.821285140562249,0.19427710843373494,-2070.0,candidate
BTC,0,0.01,4791,387.0,1574.0,4.0671834625323,1.0,0.0,candidate
BTC,0,0.015,4791,217.0,1234.0,5.686635944700461,1.0,0.0,candidate
BTC,0,0.02,4791,217.0,1234.0,5.686635944700461,1.0,0.0,candidate
BTC,0,0.03,4791,155.0,1000.0,6.451612903225806,1.0,0.0,candidate
BTC,0,0.05,4791,52.0,526.0,10.115384615384615,1.0,0.0,candidate
BTC,0,0.08,4791,19.0,320.0,16.842105263157894,1.0,0.0,candidate
BTC,0,0.12,4791,11.0,238.0,21.636363636363637,1.0,0.0,candidate
BTC,0,0.01,4791,387.0,1574.0,4.0671834625323,1.0,0.0,chosen
BTC,1,0.0,9710,5105.0,-14710.0,-2.881488736532811,0.2859941234084231,-16587.0,candidate
BTC,1,0.005,9710,4690.0,-15415.0,-3.286780383795309,0.22281449893390193,-16644.0,candidate
BTC,1,0.01,9710,1200.0,-8435.0,-7.029166666666667,0.8708333333333333,-13687.0,candidate
BTC,1,0.015,9710,837.0,-9283.0,-11.090800477897252,0.8219832735961768,-13657.0,candidate
BTC,1,0.02,9710,837.0,-9283.0,-11.090800477897252,0.8219832735961768,-13657.0,candidate
BTC,1,0.03,9710,737.0,-9815.0,-13.317503392130257,0.7978290366350068,-13657.0,candidate
BTC,1,0.05,9710,300.0,-5184.0,-17.28,0.74,-7039.0,candidate
BTC,1,0.08,9710,73.0,-1119.0,-15.32876712328767,0.726027397260274,-1756.0,candidate
BTC,1,0.12,9710,11.0,-22.0,-2.0,0.8181818181818182,-164.0,candidate
BTC,1,,9710,,,,,,disabled_no_viable_threshold
BTC,2,0.0,13572,6060.0,13137.0,2.1678217821782177,0.6813531353135314,-1740.0,candidate
BTC,2,0.005,13572,4943.0,10188.0,2.061096500101153,0.609346550677726,-1756.0,candidate
BTC,2,0.01,13572,3073.0,13753.0,4.475431174747803,0.9720143182557761,-1221.0,candidate
BTC,2,0.015,13572,2272.0,11153.0,4.908890845070423,0.9621478873239436,-1221.0,candidate
BTC,2,0.02,13572,2157.0,11039.0,5.117756142790913,0.9935095039406583,-1221.0,candidate
BTC,2,0.03,13572,1719.0,9438.0,5.490401396160559,0.9918557300756253,-1221.0,candidate
BTC,2,0.05,13572,925.0,5610.0,6.064864864864865,0.9848648648648649,-1221.0,candidate
