feature,gain,split
trade_300s_price_momentum,155261.98601992684,108
trade_900s_price_momentum,79740.3828818798,198
yes_bid,15693.596828460693,70
floor_strike_cents,4314.724592708051,166
hour_utc,4305.665953874588,209
tte_s,2018.4326792359352,129
trade_last_yes_price,1963.4873566031456,83
trade_900s_avg_size,1796.3347330838442,93
trade_count_burst_30s_vs_5m,1526.7632558643818,91
trade_900s_count,1488.4591600000858,96
trade_60s_count,1463.6738790422678,68
rti_join_lag_ms,1309.5737780630589,71
trade_900s_no_taker_vol,1194.3120275139809,63
trade_300s_no_taker_vol,1135.9641219079494,73
rti_change_60s,1120.4174580574036,58
trade_pressure_accel_30s_vs_5m,1103.7020630836487,67
trade_300s_count,1050.8178423643112,76
cb_mid_cents,924.8175586163998,45
rti_change_30s,828.3317184448242,60
volume,789.6066565513611,52
trade_300s_avg_size,786.7504892349243,62
trade_300s_yes_taker_vol,772.2799369096756,59
trade_300s_vwap_no,754.4758625030518,31
trade_30s_count,753.4475202560425,50
trade_900s_vwap_yes,741.5328297615051,51
day_of_week_utc,724.9425001144409,43
no_ask,711.1658058166504,4
utilized_depth_lots,689.7550217807293,79
rti_cents,638.1484824419022,35
trade_900s_net_yes_pressure,625.3155514001846,37
trade_300s_volume,554.0159500837326,38
trade_900s_signal_side_vwap_edge,550.6324835121632,51
consolidated_bid_cents,548.883350610733,30
rti_vs_strike_bps,531.4869309663773,26
rti_change_15s,517.4139720201492,35
trade_900s_vwap_no,511.1332151554525,33
trade_900s_yes_taker_vol,509.6464778482914,56
dynamic_cap_lots,476.9195934534073,37
tick_join_lag_ms,463.0022020936012,37
trade_900s_signal_side_pressure,447.7361514568329,35
trade_900s_entry_vs_vwap,447.4172602891922,31
trade_volume_burst_30s_vs_5m,447.1747715473175,58
median_mid_cents,390.66669845581055,13
trade_900s_yes_taker_share,369.4875166416168,34
trade_300s_yes_taker_share,342.480331659317,19
trade_60s_no_taker_vol,304.33277654647827,14
trade_last_age_s,281.9693640768528,46
trade_60s_volume,258.3378344811499,16
trade_30s_volume,256.34876537323,24
consolidated_ask_cents,253.4657576084137,21
trade_900s_volume,252.5010491386056,14
trade_30s_net_yes_pressure,247.45834082365036,15
trade_30s_entry_vs_vwap,243.60049986839294,14
trade_60s_avg_size,240.6716513633728,14
entry_cost,237.626229763031,18
trade_60s_entry_vs_vwap,200.04583752155304,9
trade_staleness_penalty,196.92790853977203,27
trade_60s_vwap_yes,184.0707312822342,12
trade_60s_signal_side_pressure,180.59255757182837,38
trade_30s_avg_size,175.96835231781006,9
trade_60s_net_yes_pressure,166.7790158316493,22
trade_30s_no_taker_vol,162.65163127332926,13
rti_change_5s,150.2388415336609,16
trade_30s_vwap_yes,146.93916976451874,11
trade_300s_vwap_yes,142.5258727669716,10
trade_last_no_price,141.09423065185547,6
kalshi_spread,138.91595840454102,8
book_seq,125.80113929510117,15
yes_ask,125.14777827262878,6
rti_abs_vs_strike_bps,115.69980335235596,4
trade_30s_price_momentum,104.87315031886101,13
trade_300s_entry_vs_vwap,104.54819774627686,8
trade_300s_signal_side_vwap_edge,91.50294208526611,7
trade_60s_yes_taker_share,88.27134132385254,8
tte_bucket,86.52299880981445,3
trade_60s_price_momentum,83.88247072696686,8
trade_300s_signal_side_pressure,83.16888880729675,9
trade_30s_yes_taker_vol,77.99511957168579,7
trade_300s_net_yes_pressure,75.5829005241394,5
trade_30s_vwap_no,52.002469062805176,5
trade_30s_yes_taker_share,33.22320067882538,4
trade_30s_signal_side_vwap_edge,30.823350727558136,5
trade_30s_signal_side_pressure,26.708319783210754,4
trade_60s_vwap_no,26.333809852600098,3
trade_60s_signal_side_vwap_edge,15.614349603652954,2
signal_rvol_5m_microbps,7.269750118255615,1
signal_strike_dist_bps,4.97967004776001,1
trade_60s_yes_taker_vol,2.807510018348694,2
asset_id,0.0,0
has_rti,0.0,0
has_tick,0.0,0
has_book_quote,0.0,0
has_valid_tte,0.0,0
has_valid_prices,0.0,0
has_valid_spread,0.0,0
side_id,0.0,0
level,0.0,0
no_bid,0.0,0
market_implied_yes_ask,0.0,0
tick_spread,0.0,0
microprice_x1000,0.0,0
imbalance_x10000,0.0,0
yes_bid_qty,0.0,0
no_bid_qty,0.0,0
signal_rvol_1m_microbps,0.0,0
eligible_venues,0.0,0
published,0.0,0
trade_has_prior,0.0,0
asset_BTC,0.0,0
asset_nan,0.0,0
source_signals,0.0,0
source_nan,0.0,0
quality_tier_A,0.0,0
quality_tier_B,0.0,0
quality_tier_nan,0.0,0
side_NO,0.0,0
side_YES,0.0,0
side_nan,0.0,0
