variant,split,edge_threshold,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
base_only,tune,-0.02,2409.0,-5051.0,-2.0967206309672064,0.5205479452054794,-5862.0
base_only,tune,0.0,1964.0,-3752.0,-1.910386965376782,0.530040733197556,-4714.0
base_only,tune,0.01,1609.0,-3594.0,-2.2336855189558733,0.5189558732131759,-4198.0
base_only,tune,0.02,1315.0,-2232.0,-1.697338403041825,0.5102661596958175,-3199.0
base_only,tune,0.03,1121.0,-1600.0,-1.4272970561998215,0.49063336306868865,-2724.0
base_only,tune,0.04,925.0,-680.0,-0.7351351351351352,0.4821621621621622,-2096.0
base_only,tune,0.05,760.0,459.0,0.6039473684210527,0.46710526315789475,-1200.0
base_only,tune,0.06,641.0,252.0,0.39313572542901715,0.43213728549141966,-888.0
base_only,tune,0.075,474.0,1090.0,2.29957805907173,0.4472573839662447,-689.0
base_only,tune,0.1,296.0,725.0,2.449324324324324,0.3614864864864865,-590.0
base_only,tune,0.125,195.0,692.0,3.5487179487179485,0.358974358974359,-590.0
base_only,tune,0.15,146.0,570.0,3.904109589041096,0.3424657534246575,-624.0
base_only,test,-0.02,63111.0,-81063.0,-1.2844512050197272,0.2655480027253569,-91231.0
base_only,test,0.0,47937.0,-64606.0,-1.3477272253165613,0.22456557565137578,-74482.0
base_only,test,0.01,32866.0,-47850.0,-1.4559118846224062,0.2007241526197286,-60832.0
base_only,test,0.02,26360.0,-47275.0,-1.7934370257966616,0.14590288315629743,-57363.0
base_only,test,0.03,19147.0,-36130.0,-1.8869796835013317,0.11709406173290855,-45060.0
base_only,test,0.04,11259.0,-23604.0,-2.0964561683986145,0.10977884359179323,-30375.0
base_only,test,0.05,7955.0,-19766.0,-2.4847265870521684,0.08799497171590195,-24956.0
base_only,test,0.06,5712.0,-11576.0,-2.026610644257703,0.0782563025210084,-16184.0
base_only,test,0.075,3845.0,-6884.0,-1.79037711313394,0.06293888166449935,-10540.0
base_only,test,0.1,1762.0,-2864.0,-1.6254256526674233,0.06129398410896708,-5456.0
base_only,test,0.125,907.0,-714.0,-0.7872105843439912,0.07717750826901874,-3230.0
base_only,test,0.15,803.0,-2047.0,-2.5491905354919053,0.052303860523038606,-3062.0
