feature,gain,split
trade_300s_price_momentum,152232.8107035756,105
trade_900s_price_momentum,80683.6380302906,200
yes_bid,13193.722975730896,57
trade_last_yes_price,5899.346409082413,90
hour_utc,4067.2413717135787,189
floor_strike_cents,4049.1189241074026,153
plv_900s_total_volume,2462.1767813954502,121
tte_s,1854.6483256816864,108
rti_join_lag_ms,1717.7894029766321,114
cb_mid_cents,1558.036694407463,59
trade_900s_avg_size,1531.7790623903275,86
no_ask,1524.9522686004639,8
trade_count_burst_30s_vs_5m,1349.4380093216896,84
plv_900s_total_count,1306.0613696277142,74
trade_pressure_accel_30s_vs_5m,1152.7458337342832,62
trade_900s_count,1101.926386848092,69
plv_300s_total_volume,1067.251206278801,74
rti_change_60s,996.3649011962116,56
plv_900s_below_volume,991.726343870163,56
utilized_depth_lots,935.5871547609568,80
trade_300s_yes_taker_vol,896.828841149807,73
plv_60s_total_count,881.6536942124367,32
volume,873.1646399796009,47
day_of_week_utc,848.8492999076843,54
plv_300s_total_count,784.9743852317333,49
rti_cents,770.2902448177338,39
trade_300s_no_taker_vol,740.6685190200806,44
trade_900s_no_taker_vol,728.4733449220657,46
trade_300s_vwap_no,721.850011587143,30
rti_change_30s,721.1268817186356,48
trade_60s_count,666.8743028640747,35
trade_300s_avg_size,662.4399284645915,46
trade_900s_signal_side_pressure,653.4326359182596,54
plv_900s_below_volume_share,637.4485878944397,34
trade_900s_vwap_yes,578.9422664642334,36
plv_900s_above_volume,570.4709639549255,36
consolidated_bid_cents,558.3275091648102,27
trade_volume_burst_30s_vs_5m,552.3624067306519,52
trade_900s_signal_side_vwap_edge,550.9548806250095,47
trade_900s_yes_taker_vol,541.9586814641953,47
trade_300s_count,493.6596200466156,33
trade_900s_entry_vs_vwap,460.5225473642349,29
rti_vs_strike_bps,456.39665842056274,29
median_mid_cents,420.1107887029648,14
tick_join_lag_ms,379.5174881219864,27
trade_900s_vwap_no,366.0431241840124,31
consolidated_ask_cents,363.065283536911,24
plv_900s_above_volume_share,342.1588487625122,23
trade_900s_net_yes_pressure,331.9949358124286,26
rti_change_15s,327.4912897348404,25
trade_last_no_price,309.4672920703888,16
trade_300s_yes_taker_share,292.38590145111084,12
trade_900s_yes_taker_share,292.19063925743103,18
trade_60s_no_taker_vol,266.8520393371582,12
trade_300s_volume,260.33431124687195,17
trade_30s_yes_taker_vol,256.113431930542,16
trade_30s_count,254.86116513609886,18
trade_300s_net_yes_pressure,247.21104741096497,16
trade_30s_volume,244.33704090118408,19
tte_bucket,241.14828968048096,15
trade_300s_vwap_yes,236.47867023944855,11
dynamic_cap_lots,235.78461945056915,29
rti_change_5s,235.00784546136856,15
trade_60s_volume,222.6229430437088,11
trade_30s_price_momentum,218.01465666294098,19
trade_60s_net_yes_pressure,208.9294991493225,28
trade_900s_volume,191.96519875526428,11
yes_ask,190.25718927383423,11
trade_60s_entry_vs_vwap,188.60624134540558,10
plv_900s_signal_taker_share_near,175.44379901885986,11
trade_60s_avg_size,171.9278200864792,12
trade_staleness_penalty,167.90629522502422,31
entry_cost,167.01599472761154,14
trade_30s_no_taker_vol,156.34051328897476,18
trade_30s_entry_vs_vwap,155.45389938354492,9
trade_30s_avg_size,151.94498872756958,8
plv_900s_net_signal_pressure_near,150.87395000457764,9
trade_last_age_s,141.45081901550293,19
trade_300s_signal_side_vwap_edge,132.20604944229126,8
trade_30s_net_yes_pressure,128.3687334060669,7
rti_abs_vs_strike_bps,126.85495090484619,9
signal_strike_dist_bps,116.17698097229004,8
trade_30s_signal_side_vwap_edge,113.08001899719238,7
trade_300s_signal_side_pressure,112.66681003570557,10
trade_60s_price_momentum,111.39316147565842,13
trade_30s_vwap_yes,110.54541993141174,6
plv_900s_near_volume_share,106.88840901851654,10
book_seq,101.69459080696106,13
trade_60s_signal_side_pressure,100.84113850723952,30
plv_30s_below_volume,99.88181334733963,18
trade_30s_vwap_no,96.89566898345947,5
plv_300s_below_volume,94.31539322435856,10
trade_300s_entry_vs_vwap,81.44401943683624,8
trade_30s_signal_side_pressure,76.50221756100655,4
plv_900s_opp_taker_near_volume,68.48350048065186,5
trade_60s_vwap_yes,64.8356990814209,4
trade_30s_yes_taker_share,63.71702255308628,10
kalshi_spread,62.215399742126465,4
plv_900s_near_count,60.16052007675171,5
plv_30s_signal_taker_share_near,59.76394057273865,10
trade_60s_yes_taker_share,57.453959465026855,8
trade_60s_vwap_no,49.302300453186035,3
trade_60s_yes_taker_vol,46.40334841609001,5
plv_30s_opp_taker_near_volume,45.14413034915924,9
plv_60s_signal_taker_share_near,42.581990003585815,8
plv_300s_near_count,41.638230085372925,4
trade_60s_signal_side_vwap_edge,41.19979119300842,2
plv_30s_total_count,41.10059928894043,2
plv_60s_above_volume_share,35.93910026550293,4
plv_60s_total_volume,34.3849983215332,1
plv_900s_near_volume,31.92881989479065,3
plv_30s_below_volume_share,23.586977433413267,26
plv_300s_below_volume_share,23.472267419099808,3
plv_900s_near_vwap,22.769424498081207,7
plv_60s_below_volume,21.000799655914307,2
plv_300s_above_volume,19.06879997253418,1
plv_60s_below_volume_share,12.987399697303772,4
plv_30s_near_volume,12.584259986877441,4
plv_900s_at_volume_share,12.293899536132812,1
plv_30s_signal_taker_at_volume,8.20005989074707,2
plv_30s_above_volume,6.158120155334473,1
plv_300s_entry_vs_near_vwap,5.580792132765055,7
signal_rvol_5m_microbps,5.426759958267212,2
plv_30s_signal_taker_near_volume,5.400349795818329,3
plv_30s_near_volume_share,5.043850064277649,4
plv_300s_opp_taker_near_volume,4.971380233764648,1
plv_30s_near_vwap,4.679250001907349,2
plv_30s_near_count,3.159219980239868,1
plv_30s_at_volume_share,3.0282700061798096,2
plv_300s_near_vwap,2.6350901126861572,1
plv_300s_signal_taker_share_near,2.2985000610351562,1
plv_900s_signal_taker_near_volume,2.2252364717423916,2
plv_60s_signal_taker_near_volume,2.2135000228881836,2
plv_60s_near_vwap,1.7847800254821777,1
plv_900s_entry_vs_near_vwap,0.7563839852809906,2
plv_900s_opp_taker_at_volume,0.08978360146284103,1
asset_id,0.0,0
has_rti,0.0,0
has_tick,0.0,0
has_book_quote,0.0,0
has_valid_tte,0.0,0
has_valid_prices,0.0,0
has_valid_spread,0.0,0
side_id,0.0,0
level,0.0,0
no_bid,0.0,0
market_implied_yes_ask,0.0,0
tick_spread,0.0,0
microprice_x1000,0.0,0
imbalance_x10000,0.0,0
yes_bid_qty,0.0,0
no_bid_qty,0.0,0
signal_rvol_1m_microbps,0.0,0
eligible_venues,0.0,0
published,0.0,0
trade_has_prior,0.0,0
plv_30s_total_volume,0.0,0
plv_30s_at_volume,0.0,0
plv_30s_at_count,0.0,0
plv_30s_above_volume_share,0.0,0
plv_30s_opp_taker_at_volume,0.0,0
plv_30s_net_signal_pressure_near,0.0,0
plv_30s_entry_vs_near_vwap,0.0,0
plv_60s_at_volume,0.0,0
plv_60s_at_count,0.0,0
plv_60s_near_volume,0.0,0
plv_60s_near_count,0.0,0
plv_60s_above_volume,0.0,0
plv_60s_at_volume_share,0.0,0
plv_60s_near_volume_share,0.0,0
plv_60s_signal_taker_at_volume,0.0,0
plv_60s_opp_taker_at_volume,0.0,0
plv_60s_opp_taker_near_volume,0.0,0
plv_60s_net_signal_pressure_near,0.0,0
plv_60s_entry_vs_near_vwap,0.0,0
plv_300s_at_volume,0.0,0
plv_300s_at_count,0.0,0
plv_300s_near_volume,0.0,0
plv_300s_at_volume_share,0.0,0
plv_300s_near_volume_share,0.0,0
plv_300s_above_volume_share,0.0,0
plv_300s_signal_taker_at_volume,0.0,0
plv_300s_opp_taker_at_volume,0.0,0
plv_300s_signal_taker_near_volume,0.0,0
plv_300s_net_signal_pressure_near,0.0,0
plv_900s_at_volume,0.0,0
plv_900s_at_count,0.0,0
plv_900s_signal_taker_at_volume,0.0,0
depth_has_snapshot,0.0,0
depth_snapshot_lag_s,0.0,0
depth_signal_level_visible,0.0,0
depth_signal_bid_at_level,0.0,0
depth_signal_ask_at_level,0.0,0
depth_opp_bid_at_complement_level,0.0,0
depth_opp_ask_at_complement_level,0.0,0
depth_signal_bid_within_1c,0.0,0
depth_signal_ask_within_1c,0.0,0
depth_signal_bid_within_3c,0.0,0
depth_signal_ask_within_3c,0.0,0
depth_signal_bid_within_5c,0.0,0
depth_signal_ask_within_5c,0.0,0
depth_top10_signal_bid_depth,0.0,0
depth_top10_signal_ask_depth,0.0,0
depth_top10_opp_bid_depth,0.0,0
depth_top10_opp_ask_depth,0.0,0
depth_top10_signal_bid_share,0.0,0
depth_top10_signal_ask_share,0.0,0
depth_top10_book_imbalance,0.0,0
asset_BTC,0.0,0
asset_nan,0.0,0
source_signals,0.0,0
source_nan,0.0,0
quality_tier_A,0.0,0
quality_tier_B,0.0,0
quality_tier_nan,0.0,0
side_NO,0.0,0
side_YES,0.0,0
side_nan,0.0,0
