feature,gain,split
trade_last_yes_price,116606.457884565,111
side_id,43147.744537353516,20
yes_bid,14536.610044002533,77
trade_last_no_price,6445.864794947207,13
floor_strike_cents,6097.5204001665115,134
hour_utc,3207.2524847388268,215
trade_900s_avg_size,1571.1388750504702,135
side_NO,1326.8599853515625,1
trade_900s_yes_taker_share,1219.1621294021606,86
rti_join_lag_ms,1046.6563010811806,79
trade_30s_vwap_no,966.9756965637207,45
trade_300s_avg_size,830.2076284885406,41
trade_count_burst_30s_vs_5m,764.5783196687698,55
trade_300s_yes_taker_share,759.809225320816,43
trade_300s_no_taker_vol,700.4981678724289,32
trade_30s_count,699.7701086997986,30
trade_900s_vwap_yes,691.9169988632202,27
rti_change_30s,688.6313586337492,42
trade_300s_price_momentum,628.7819952964783,34
trade_300s_yes_taker_vol,599.8943505883217,48
utilized_depth_lots,578.058735191822,48
day_of_week_utc,562.3791484832764,36
no_ask,545.4322905540466,6
trade_300s_volume,518.8730778694153,23
consolidated_bid_cents,511.63624382019043,14
rti_cents,503.16007566452026,21
median_mid_cents,476.7714958190918,17
trade_900s_signal_side_pressure,460.5900011062622,20
trade_900s_price_momentum,437.99089908599854,16
trade_30s_entry_vs_vwap,428.58417212963104,29
trade_900s_no_taker_vol,426.64447166770697,32
consolidated_ask_cents,414.9556972980499,24
trade_300s_net_yes_pressure,389.2207579612732,19
trade_900s_net_yes_pressure,385.9494490623474,15
trade_300s_signal_side_pressure,376.11183404922485,27
trade_300s_vwap_no,348.2809896469116,14
trade_900s_signal_side_vwap_edge,319.5199273824692,18
trade_300s_signal_side_vwap_edge,317.2213020324707,20
rti_vs_strike_bps,275.25565099716187,14
rti_change_60s,262.05949810147285,24
tte_s,259.9687023162842,18
rti_change_5s,234.58876958489418,16
cb_mid_cents,229.7861204147339,12
signal_strike_dist_bps,224.75859928131104,11
trade_900s_volume,221.933198928833,6
trade_300s_vwap_yes,205.5322904586792,10
trade_900s_yes_taker_vol,200.11094200611115,10
entry_cost,194.45965582504869,23
trade_30s_avg_size,182.93310356140137,6
trade_900s_vwap_no,172.92134284973145,10
trade_900s_count,157.50570106506348,18
trade_pressure_accel_30s_vs_5m,151.9733692407608,14
dynamic_cap_lots,151.46750223636627,26
trade_last_age_s,149.64930483698845,12
trade_60s_yes_taker_share,145.9313079416752,20
trade_30s_net_yes_pressure,129.09931087493896,8
trade_60s_signal_side_vwap_edge,127.92909908294678,16
trade_900s_entry_vs_vwap,125.70140933990479,7
trade_60s_no_taker_vol,120.7866804599762,10
trade_60s_count,112.70766162872314,10
yes_ask,104.88750076293945,6
trade_60s_entry_vs_vwap,94.97542929649353,22
trade_60s_signal_side_pressure,93.24285888671875,6
trade_30s_no_taker_vol,92.52624130249023,5
trade_60s_net_yes_pressure,91.47259974479675,15
trade_volume_burst_30s_vs_5m,91.28194811940193,13
rti_abs_vs_strike_bps,86.09920024871826,5
trade_60s_price_momentum,79.94772911071777,8
trade_300s_count,72.61021128296852,19
trade_30s_signal_side_vwap_edge,64.28459930419922,3
trade_30s_price_momentum,63.437599658966064,5
trade_30s_vwap_yes,58.99434947967529,5
signal_rvol_1m_microbps,57.09022903442383,4
trade_staleness_penalty,55.83930945396423,4
volume,48.88740158081055,2
trade_300s_entry_vs_vwap,45.632150650024414,4
trade_30s_signal_side_pressure,40.84640026092529,3
rti_change_15s,40.188029766082764,4
trade_30s_volume,35.72559928894043,2
book_seq,31.763279914855957,4
trade_60s_avg_size,30.546624958515167,3
no_bid,25.615999221801758,1
tick_join_lag_ms,21.75971958041191,6
trade_30s_yes_taker_vol,21.643800735473633,1
trade_30s_yes_taker_share,19.201000213623047,1
trade_60s_volume,13.489700317382812,1
trade_60s_vwap_yes,13.347299575805664,1
trade_60s_yes_taker_vol,6.889649868011475,1
asset_id,0.0,0
has_rti,0.0,0
has_tick,0.0,0
has_book_quote,0.0,0
has_valid_tte,0.0,0
has_valid_prices,0.0,0
has_valid_spread,0.0,0
level,0.0,0
tte_bucket,0.0,0
market_implied_yes_ask,0.0,0
kalshi_spread,0.0,0
tick_spread,0.0,0
microprice_x1000,0.0,0
imbalance_x10000,0.0,0
yes_bid_qty,0.0,0
no_bid_qty,0.0,0
signal_rvol_5m_microbps,0.0,0
eligible_venues,0.0,0
published,0.0,0
trade_60s_vwap_no,0.0,0
trade_has_prior,0.0,0
asset_ETH,0.0,0
asset_nan,0.0,0
source_signals,0.0,0
source_nan,0.0,0
quality_tier_A,0.0,0
quality_tier_B,0.0,0
quality_tier_nan,0.0,0
side_YES,0.0,0
side_nan,0.0,0
