variant,split,edge_threshold,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
base_only,tune,-0.02,2097.0,-1137.0,-0.542203147353362,0.5994277539341917,-6318.0
base_only,tune,0.0,1696.0,315.0,0.1857311320754717,0.6285377358490566,-5115.0
base_only,tune,0.01,1292.0,1569.0,1.2143962848297214,0.6702786377708978,-3537.0
base_only,tune,0.02,1060.0,1530.0,1.4433962264150944,0.7094339622641509,-3376.0
base_only,tune,0.03,845.0,2714.0,3.211834319526627,0.7538461538461538,-1695.0
base_only,tune,0.04,666.0,2737.0,4.10960960960961,0.7447447447447447,-1292.0
base_only,tune,0.05,525.0,2449.0,4.664761904761905,0.7561904761904762,-986.0
base_only,tune,0.06,405.0,2732.0,6.745679012345679,0.782716049382716,-809.0
base_only,tune,0.075,250.0,1879.0,7.516,0.744,-567.0
base_only,tune,0.1,87.0,2084.0,23.95402298850575,0.8275862068965517,-85.0
base_only,tune,0.125,47.0,1461.0,31.085106382978722,0.7872340425531915,-85.0
base_only,tune,0.15,32.0,1416.0,44.25,0.96875,-7.0
base_only,test,-0.02,37275.0,-102815.0,-2.7582830315224682,0.11667337357478202,-119087.0
base_only,test,0.0,33386.0,-95507.0,-2.86069010962679,0.08503564368298089,-109957.0
base_only,test,0.01,31071.0,-91032.0,-2.9298059283576325,0.06662160857391136,-105715.0
base_only,test,0.02,28654.0,-86633.0,-3.023417323933831,0.0528024010609339,-99587.0
base_only,test,0.03,26571.0,-85368.0,-3.2128260133227955,0.0433931730081668,-93958.0
base_only,test,0.04,24648.0,-85218.0,-3.457400194741967,0.031888997078870496,-89421.0
base_only,test,0.05,23283.0,-85828.0,-3.6862947214706008,0.02100244813812653,-87714.0
base_only,test,0.06,21982.0,-82133.0,-3.7363752160858885,0.0181967063961423,-83187.0
base_only,test,0.075,20151.0,-77429.0,-3.842439581162225,0.011661952260433725,-78382.0
base_only,test,0.1,19115.0,-74238.0,-3.88375621239864,0.006853256604760659,-74734.0
base_only,test,0.125,18170.0,-69365.0,-3.8175564116675837,0.006108970831040176,-69974.0
base_only,test,0.15,16412.0,-62232.0,-3.791859614915915,0.005605654399220083,-62780.0
