feature,gain,split
trade_last_yes_price,127287.53014326096,110
side_id,35023.27136230469,16
yes_bid,12811.737813472748,75
floor_strike_cents,5987.569030284882,128
trade_last_no_price,4059.5510787963867,11
hour_utc,2410.8067196011543,153
side_NO,2203.77001953125,1
no_ask,1423.630443572998,9
trade_900s_yes_taker_share,1380.027522802353,85
trade_900s_avg_size,1348.4358325004578,128
plv_900s_total_volume,1295.053641796112,53
rti_join_lag_ms,1234.2890873551369,88
trade_30s_vwap_no,946.6124000549316,44
trade_300s_avg_size,854.430064201355,42
trade_300s_volume,789.1678047180176,35
trade_300s_yes_taker_share,761.1814937591553,44
trade_300s_no_taker_vol,742.9285054206848,37
rti_change_30s,740.3130207061768,41
trade_300s_net_yes_pressure,720.473313331604,29
trade_300s_price_momentum,709.6330881118774,39
trade_count_burst_30s_vs_5m,707.9833787679672,52
median_mid_cents,704.8198013305664,23
plv_900s_total_count,679.9164100885391,61
day_of_week_utc,615.2576942443848,39
trade_300s_yes_taker_vol,569.6071980595589,46
trade_900s_vwap_yes,524.9648735076189,24
trade_30s_count,508.28683280944824,26
trade_900s_net_yes_pressure,475.6654357910156,20
tte_s,464.0570697784424,23
trade_900s_signal_side_pressure,447.5119708776474,20
consolidated_bid_cents,434.0443730354309,12
trade_900s_no_taker_vol,416.167732834816,22
utilized_depth_lots,397.8490542694926,38
trade_900s_price_momentum,383.95929622650146,12
trade_900s_signal_side_vwap_edge,370.14803951978683,21
consolidated_ask_cents,361.164479136467,18
rti_change_60s,294.4497543014586,22
rti_vs_strike_bps,283.08358359336853,15
signal_strike_dist_bps,266.9419012069702,12
trade_300s_vwap_no,253.05109977722168,11
cb_mid_cents,216.8829197883606,10
trade_900s_count,208.5918185710907,17
rti_cents,205.44318985939026,12
trade_60s_yes_taker_share,199.53762209415436,23
trade_300s_signal_side_pressure,199.4953884780407,18
trade_300s_signal_side_vwap_edge,198.34419918060303,12
trade_300s_vwap_yes,178.16920375823975,9
plv_900s_below_volume,172.217698097229,10
plv_900s_above_volume,169.33821588754654,12
trade_900s_volume,162.99870014190674,5
trade_last_age_s,161.100255548954,9
trade_900s_vwap_no,144.8211612701416,7
trade_60s_net_yes_pressure,143.73431992530823,10
dynamic_cap_lots,128.8163976073265,22
trade_30s_entry_vs_vwap,122.81279420852661,22
trade_pressure_accel_30s_vs_5m,121.14063858985901,12
plv_300s_total_volume,118.84868532419205,12
yes_ask,118.69009971618652,5
rti_change_5s,113.75298881530762,10
entry_cost,102.44741827249527,16
trade_60s_price_momentum,100.05853819847107,11
plv_300s_total_count,96.79443895816803,10
trade_60s_signal_side_vwap_edge,96.53872919082642,15
trade_60s_entry_vs_vwap,95.88244253396988,20
trade_300s_count,95.60896968841553,8
trade_60s_count,93.01397037506104,6
trade_900s_yes_taker_vol,87.71483063697815,6
trade_900s_entry_vs_vwap,85.14048027992249,6
trade_30s_vwap_yes,81.02949905395508,4
plv_300s_below_volume,79.5490083694458,6
rti_change_15s,77.40173053741455,8
plv_30s_total_count,72.35890102386475,4
plv_900s_near_count,71.02367830276489,5
trade_30s_price_momentum,70.75088834762573,5
trade_60s_signal_side_pressure,68.83257961273193,4
trade_300s_entry_vs_vwap,60.20823955535889,9
trade_30s_yes_taker_vol,57.41654062271118,4
trade_30s_avg_size,56.569101333618164,2
trade_30s_signal_side_pressure,48.338398933410645,3
plv_300s_above_volume,45.94790077209473,2
trade_30s_signal_side_vwap_edge,45.12629985809326,3
plv_300s_near_volume_share,42.08579921722412,3
tte_bucket,38.6445894241333,2
trade_60s_no_taker_vol,36.67963933944702,3
plv_900s_signal_taker_near_volume,35.9414302110672,6
trade_30s_no_taker_vol,33.96409034729004,3
trade_30s_volume,33.84779977798462,3
plv_900s_above_volume_share,32.59700012207031,1
trade_volume_burst_30s_vs_5m,30.717354118824005,7
tick_join_lag_ms,25.966860055923462,4
trade_60s_yes_taker_vol,25.05150032043457,1
plv_300s_near_vwap,23.42088222503662,6
trade_30s_yes_taker_share,22.93236017227173,2
plv_900s_near_volume,22.419790029525757,4
plv_300s_above_volume_share,22.078800201416016,1
plv_30s_opp_taker_at_volume,17.006200790405273,1
plv_60s_total_volume,15.197099685668945,1
plv_300s_signal_taker_near_volume,13.006600379943848,1
plv_60s_below_volume,12.849499702453613,1
plv_900s_net_signal_pressure_near,12.819680333137512,3
plv_30s_below_volume,12.4891996383667,1
plv_30s_net_signal_pressure_near,10.895090222358704,5
kalshi_spread,10.034299850463867,1
plv_30s_below_volume_share,8.504819989204407,5
plv_60s_signal_taker_near_volume,5.832799911499023,1
plv_60s_near_vwap,5.780720233917236,1
signal_rvol_1m_microbps,4.6892499923706055,1
plv_60s_opp_taker_near_volume,2.5620100498199463,1
trade_staleness_penalty,2.1096800565719604,2
plv_60s_above_volume,1.3461899757385254,1
plv_900s_opp_taker_near_volume,0.6702359914779663,1
asset_id,0.0,0
has_rti,0.0,0
has_tick,0.0,0
has_book_quote,0.0,0
has_valid_tte,0.0,0
has_valid_prices,0.0,0
has_valid_spread,0.0,0
level,0.0,0
no_bid,0.0,0
market_implied_yes_ask,0.0,0
tick_spread,0.0,0
microprice_x1000,0.0,0
imbalance_x10000,0.0,0
yes_bid_qty,0.0,0
no_bid_qty,0.0,0
book_seq,0.0,0
signal_rvol_5m_microbps,0.0,0
volume,0.0,0
rti_abs_vs_strike_bps,0.0,0
eligible_venues,0.0,0
published,0.0,0
trade_30s_net_yes_pressure,0.0,0
trade_60s_volume,0.0,0
trade_60s_vwap_yes,0.0,0
trade_60s_vwap_no,0.0,0
trade_60s_avg_size,0.0,0
trade_has_prior,0.0,0
plv_30s_total_volume,0.0,0
plv_30s_at_volume,0.0,0
plv_30s_at_count,0.0,0
plv_30s_near_volume,0.0,0
plv_30s_near_count,0.0,0
plv_30s_above_volume,0.0,0
plv_30s_at_volume_share,0.0,0
plv_30s_near_volume_share,0.0,0
plv_30s_above_volume_share,0.0,0
plv_30s_signal_taker_at_volume,0.0,0
plv_30s_signal_taker_near_volume,0.0,0
plv_30s_opp_taker_near_volume,0.0,0
plv_30s_signal_taker_share_near,0.0,0
plv_30s_near_vwap,0.0,0
plv_30s_entry_vs_near_vwap,0.0,0
plv_60s_total_count,0.0,0
plv_60s_at_volume,0.0,0
plv_60s_at_count,0.0,0
plv_60s_near_volume,0.0,0
plv_60s_near_count,0.0,0
plv_60s_at_volume_share,0.0,0
plv_60s_near_volume_share,0.0,0
plv_60s_above_volume_share,0.0,0
plv_60s_below_volume_share,0.0,0
plv_60s_signal_taker_at_volume,0.0,0
plv_60s_opp_taker_at_volume,0.0,0
plv_60s_net_signal_pressure_near,0.0,0
plv_60s_signal_taker_share_near,0.0,0
plv_60s_entry_vs_near_vwap,0.0,0
plv_300s_at_volume,0.0,0
plv_300s_at_count,0.0,0
