variant,split,edge_threshold,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
base_plus_level_flow,tune,-0.02,2097.0,-1505.0,-0.7176919408679066,0.6080114449213162,-6668.0
base_plus_level_flow,tune,0.0,1669.0,414.0,0.24805272618334331,0.6381066506890354,-4952.0
base_plus_level_flow,tune,0.01,1363.0,1665.0,1.2215700660308144,0.6683785766691123,-3462.0
base_plus_level_flow,tune,0.02,1059.0,1437.0,1.3569405099150142,0.7101038715769594,-3380.0
base_plus_level_flow,tune,0.03,863.0,1726.0,2.0,0.7358053302433372,-2663.0
base_plus_level_flow,tune,0.04,650.0,2023.0,3.1123076923076924,0.7584615384615384,-1666.0
base_plus_level_flow,tune,0.05,513.0,2915.0,5.682261208576998,0.7894736842105263,-789.0
base_plus_level_flow,tune,0.06,390.0,2587.0,6.633333333333334,0.7948717948717948,-662.0
base_plus_level_flow,tune,0.075,238.0,1718.0,7.218487394957983,0.7394957983193278,-672.0
base_plus_level_flow,tune,0.1,87.0,1868.0,21.471264367816094,0.7126436781609196,-99.0
base_plus_level_flow,tune,0.125,39.0,1587.0,40.69230769230769,0.9743589743589743,-7.0
base_plus_level_flow,tune,0.15,25.0,1279.0,51.16,1.0,0.0
base_plus_level_flow,test,-0.02,37282.0,-113373.0,-3.0409581031060564,0.11053591545517945,-120965.0
base_plus_level_flow,test,0.0,33180.0,-105250.0,-3.1720916214587103,0.07209162145871006,-114084.0
base_plus_level_flow,test,0.01,30830.0,-100126.0,-3.247680830360039,0.05569250729808628,-107855.0
base_plus_level_flow,test,0.02,28418.0,-94799.0,-3.335878668449574,0.04497149693856007,-100465.0
base_plus_level_flow,test,0.03,26268.0,-92728.0,-3.5300746155017513,0.03639409167047358,-95377.0
base_plus_level_flow,test,0.04,24786.0,-89984.0,-3.6304365367546194,0.0271120793996611,-92423.0
base_plus_level_flow,test,0.05,22944.0,-85937.0,-3.7455108089260807,0.01882845188284519,-87556.0
base_plus_level_flow,test,0.06,21659.0,-79533.0,-3.6720531880511564,0.01809871185188605,-81383.0
base_plus_level_flow,test,0.075,19923.0,-75650.0,-3.797118907795011,0.011695025849520655,-76817.0
base_plus_level_flow,test,0.1,19039.0,-73497.0,-3.8603393035348494,0.006302852040548348,-74178.0
base_plus_level_flow,test,0.125,18041.0,-68765.0,-3.8115958095449254,0.005653788592650075,-70010.0
base_plus_level_flow,test,0.15,16147.0,-62234.0,-3.85421440515266,0.00507834272620301,-63223.0
