feature,gain,split
trade_900s_price_momentum,34058.774210644886,198
side_id,31006.273010253906,32
trade_last_yes_price,6766.24545660615,85
hour_utc,5082.6765276789665,262
floor_strike_cents,3550.3391271457076,264
trade_300s_price_momentum,2499.14747223258,68
trade_60s_vwap_no,1537.0324676036835,25
cb_mid_cents,1273.469469025731,144
trade_last_no_price,1163.8947949409485,12
trade_30s_vwap_yes,1100.7009943723679,20
tte_s,930.2490136623383,97
trade_900s_no_taker_vol,758.092444896698,60
trade_300s_no_taker_vol,742.5191292762756,55
trade_300s_yes_taker_vol,543.2106265127659,101
trade_60s_entry_vs_vwap,499.89214202738367,51
trade_30s_yes_taker_share,484.28011333942413,61
trade_60s_yes_taker_share,429.5846211910248,50
trade_900s_yes_taker_share,404.05654203891754,58
trade_300s_avg_size,374.34378185682,53
trade_900s_avg_size,373.3146594911814,37
trade_900s_net_yes_pressure,331.49458026885986,43
trade_30s_count,303.98321974277496,20
trade_300s_count,283.7339109778404,23
trade_60s_signal_side_vwap_edge,213.43423710763454,36
trade_60s_net_yes_pressure,210.85931538045406,19
trade_300s_entry_vs_vwap,202.1826073527336,30
trade_900s_signal_side_pressure,193.94377449154854,32
entry_cost,185.24090097472072,30
trade_30s_no_taker_vol,173.23651111125946,40
signal_strike_dist_bps,171.84987950325012,26
trade_300s_yes_taker_share,171.51607778668404,25
trade_900s_entry_vs_vwap,162.7465552687645,24
trade_300s_net_yes_pressure,160.22952324151993,18
trade_300s_signal_side_pressure,159.05052027106285,22
trade_60s_count,142.23837888240814,19
trade_30s_vwap_no,134.46058928966522,12
day_of_week_utc,134.44212865829468,8
trade_60s_volume,129.30109947215533,16
trade_30s_signal_side_vwap_edge,122.64264637231827,17
trade_900s_signal_side_vwap_edge,115.26544579863548,25
trade_30s_volume,110.01799294352531,12
volume,109.57552355527878,20
trade_pressure_accel_30s_vs_5m,108.30537698417902,17
trade_60s_price_momentum,107.54989838600159,28
trade_300s_volume,106.65076947212219,6
trade_900s_count,104.89551107026637,29
trade_count_burst_30s_vs_5m,102.56599950790405,17
trade_900s_yes_taker_vol,99.4883199930191,15
no_ask,94.02437019348145,12
trade_volume_burst_30s_vs_5m,90.18626928329468,18
trade_30s_signal_side_pressure,88.40931916236877,11
trade_900s_vwap_no,81.31953206658363,16
trade_900s_vwap_yes,75.1619522869587,10
trade_900s_volume,74.52395975589752,17
trade_last_age_s,74.35871940851212,24
trade_60s_vwap_yes,70.6630209684372,10
yes_ask,69.83749467134476,9
trade_300s_vwap_yes,66.42236617952585,13
trade_300s_vwap_no,65.04293558001518,17
trade_30s_entry_vs_vwap,64.82936176285148,18
trade_30s_net_yes_pressure,64.40440940856934,9
trade_300s_signal_side_vwap_edge,56.25586047768593,18
trade_60s_signal_side_pressure,53.365970492362976,6
trade_60s_avg_size,41.935909271240234,14
yes_bid,37.70183485746384,9
trade_60s_no_taker_vol,28.737725645303726,12
trade_30s_avg_size,25.415901124477386,8
trade_30s_price_momentum,20.27561467885971,9
trade_staleness_penalty,16.757363811135292,8
trade_60s_yes_taker_vol,15.40099024772644,6
trade_30s_yes_taker_vol,13.492689847946167,3
kalshi_spread,4.725369930267334,1
signal_rvol_5m_microbps,0.003745423578948248,3
asset_id,0.0,0
has_rti,0.0,0
has_tick,0.0,0
has_book_quote,0.0,0
has_valid_tte,0.0,0
has_valid_prices,0.0,0
has_valid_spread,0.0,0
rti_join_lag_ms,0.0,0
tick_join_lag_ms,0.0,0
level,0.0,0
tte_bucket,0.0,0
no_bid,0.0,0
market_implied_yes_ask,0.0,0
tick_spread,0.0,0
microprice_x1000,0.0,0
imbalance_x10000,0.0,0
yes_bid_qty,0.0,0
no_bid_qty,0.0,0
book_seq,0.0,0
signal_rvol_1m_microbps,0.0,0
rti_cents,0.0,0
rti_vs_strike_bps,0.0,0
rti_abs_vs_strike_bps,0.0,0
rti_change_5s,0.0,0
rti_change_15s,0.0,0
rti_change_30s,0.0,0
rti_change_60s,0.0,0
consolidated_bid_cents,0.0,0
consolidated_ask_cents,0.0,0
median_mid_cents,0.0,0
eligible_venues,0.0,0
published,0.0,0
utilized_depth_lots,0.0,0
dynamic_cap_lots,0.0,0
trade_has_prior,0.0,0
asset_SOL,0.0,0
asset_nan,0.0,0
source_signals,0.0,0
source_nan,0.0,0
quality_tier_B,0.0,0
quality_tier_nan,0.0,0
side_NO,0.0,0
side_YES,0.0,0
side_nan,0.0,0
