variant,split,edge_threshold,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
base_only,tune,-0.02,700.0,982.0,1.4028571428571428,0.7742857142857142,-1714.0
base_only,tune,0.0,540.0,1741.0,3.224074074074074,0.8703703703703703,-1129.0
base_only,tune,0.01,455.0,1711.0,3.7604395604395604,0.8747252747252747,-1134.0
base_only,tune,0.02,372.0,2709.0,7.282258064516129,0.9139784946236559,-179.0
base_only,tune,0.03,306.0,2246.0,7.339869281045751,0.9150326797385621,-179.0
base_only,tune,0.04,255.0,1899.0,7.447058823529412,0.9137254901960784,-179.0
base_only,tune,0.05,186.0,1458.0,7.838709677419355,0.8924731182795699,-179.0
base_only,tune,0.06,124.0,973.0,7.846774193548387,0.8387096774193549,-216.0
base_only,tune,0.075,74.0,554.0,7.486486486486487,0.7837837837837838,-186.0
base_only,tune,0.1,37.0,268.0,7.243243243243243,0.6756756756756757,-161.0
base_only,tune,0.125,12.0,-132.0,-11.0,0.16666666666666666,-192.0
base_only,tune,0.15,10.0,-46.0,-4.6,0.2,-106.0
base_only,test,-0.02,27346.0,-78600.0,-2.87427777371462,0.2638411467856359,-79454.0
base_only,test,0.0,18474.0,-65634.0,-3.552776875608964,0.21007902998809136,-65725.0
base_only,test,0.01,14667.0,-55686.0,-3.7966864389445694,0.1870184768527988,-55808.0
base_only,test,0.02,11970.0,-45069.0,-3.7651629072681705,0.1573934837092732,-45302.0
base_only,test,0.03,9737.0,-40627.0,-4.17243504159392,0.12200883228920612,-41118.0
base_only,test,0.04,7428.0,-30760.0,-4.141087775982768,0.09383414108777598,-31028.0
base_only,test,0.05,6313.0,-28939.0,-4.584032947885316,0.0632029146206241,-29049.0
base_only,test,0.06,5634.0,-24927.0,-4.424387646432375,0.04614838480653177,-25114.0
base_only,test,0.075,4816.0,-19426.0,-4.033637873754153,0.028654485049833887,-19468.0
base_only,test,0.1,3465.0,-14654.0,-4.2291486291486295,0.00808080808080808,-14779.0
base_only,test,0.125,2348.0,-9832.0,-4.187393526405452,0.005110732538330494,-9832.0
base_only,test,0.15,1199.0,-5189.0,-4.327773144286906,0.0050041701417848205,-5189.0
