feature,gain,split
side_id,34054.645935058594,39
trade_900s_price_momentum,32125.98585550487,218
trade_last_yes_price,6681.1662076711655,71
hour_utc,4161.398447819054,206
trade_300s_price_momentum,3137.573862120509,94
floor_strike_cents,2414.7349947979674,219
trade_60s_vwap_no,2096.2678259909153,37
plv_900s_total_count,1889.5705385021865,196
cb_mid_cents,1085.118610298261,112
tte_s,905.7117212414742,74
plv_900s_below_volume,791.2703767418861,56
trade_900s_no_taker_vol,710.6023108512163,59
trade_300s_yes_taker_vol,702.3254633247852,133
plv_900s_above_volume,612.6749465465546,85
trade_30s_yes_taker_share,583.6791279017925,62
signal_strike_dist_bps,554.4990037307143,54
plv_900s_above_volume_share,534.7098518013954,41
trade_300s_no_taker_vol,463.60371923446655,39
trade_30s_count,406.49133372306824,24
plv_300s_total_count,396.6448401212692,30
plv_900s_total_volume,387.3652672767639,38
trade_60s_yes_taker_share,384.4313036799431,47
trade_30s_vwap_yes,316.87281227111816,7
trade_900s_avg_size,300.8678614231758,39
trade_900s_entry_vs_vwap,293.98768055438995,35
trade_900s_yes_taker_share,246.69625836610794,30
trade_900s_count,230.31411069631577,48
trade_60s_net_yes_pressure,229.55957221984863,17
trade_60s_signal_side_vwap_edge,194.9746904107742,35
trade_300s_yes_taker_share,188.5474538016133,30
trade_300s_net_yes_pressure,179.57034730911255,28
trade_300s_signal_side_pressure,166.1814501285553,19
trade_300s_avg_size,161.6068749241531,29
trade_30s_no_taker_vol,160.59467774629593,23
trade_900s_vwap_yes,160.03958755731583,21
day_of_week_utc,144.28796005249023,10
trade_900s_net_yes_pressure,143.55098962783813,18
trade_60s_count,133.82516026496887,20
trade_900s_signal_side_pressure,131.67818155884743,27
plv_300s_below_volume,122.94383072853088,19
trade_last_no_price,119.7136287689209,8
trade_300s_count,119.05131030082703,9
trade_60s_entry_vs_vwap,115.33321559429169,24
volume,103.70570039749146,11
yes_ask,99.96371230483055,20
trade_volume_burst_30s_vs_5m,89.42351849377155,19
trade_pressure_accel_30s_vs_5m,82.89140820503235,11
entry_cost,79.85897490382195,24
trade_300s_vwap_no,76.58311802148819,15
trade_30s_entry_vs_vwap,76.50593811273575,20
trade_300s_entry_vs_vwap,75.29328536987305,14
plv_900s_below_volume_share,74.31054019927979,10
trade_60s_signal_side_pressure,70.13857878465205,6
trade_300s_vwap_yes,69.151014149189,12
trade_30s_signal_side_pressure,59.108880400657654,11
trade_60s_price_momentum,58.02418041229248,19
no_ask,57.759530840441585,7
trade_300s_signal_side_vwap_edge,55.822028920054436,18
trade_count_burst_30s_vs_5m,55.712679624557495,12
trade_last_age_s,49.561334162950516,17
trade_60s_vwap_yes,42.60375738143921,10
trade_30s_signal_side_vwap_edge,33.98627120256424,7
trade_staleness_penalty,32.143025040626526,10
plv_300s_signal_taker_share_near,29.12279987335205,2
trade_900s_signal_side_vwap_edge,27.52441906929016,10
trade_900s_yes_taker_vol,26.855120062828064,6
yes_bid,26.079559564590454,4
trade_30s_volume,22.436800003051758,1
no_bid,21.11395013332367,2
trade_30s_vwap_no,20.35181975364685,8
trade_300s_volume,18.926151394844055,4
plv_900s_near_volume_share,16.641180157661438,7
plv_300s_net_signal_pressure_near,12.799350917339325,3
plv_60s_near_volume,11.865370035171509,4
plv_60s_net_signal_pressure_near,11.256788492202759,3
trade_30s_price_momentum,11.223784983158112,4
trade_900s_vwap_no,10.871222257614136,5
plv_30s_below_volume,9.694379806518555,1
plv_300s_total_volume,9.460821032524109,7
trade_900s_volume,9.118490219116211,2
plv_900s_opp_taker_near_volume,8.174720048904419,3
trade_30s_avg_size,7.959407489746809,4
plv_30s_below_volume_share,7.3374990075826645,3
plv_30s_above_volume_share,7.226900100708008,1
