variant,split,edge_threshold,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
base_plus_level_flow,tune,-0.02,709.0,1098.0,1.5486600846262342,0.7926657263751763,-2013.0
base_plus_level_flow,tune,0.0,547.0,1364.0,2.493601462522852,0.8372943327239488,-1911.0
base_plus_level_flow,tune,0.01,466.0,1549.0,3.3240343347639487,0.8433476394849786,-1455.0
base_plus_level_flow,tune,0.02,376.0,2491.0,6.625,0.9122340425531915,-421.0
base_plus_level_flow,tune,0.03,327.0,2313.0,7.073394495412844,0.926605504587156,-421.0
base_plus_level_flow,tune,0.04,238.0,1730.0,7.26890756302521,0.9201680672268907,-421.0
base_plus_level_flow,tune,0.05,170.0,1235.0,7.264705882352941,0.888235294117647,-421.0
base_plus_level_flow,tune,0.06,115.0,895.0,7.782608695652174,0.8695652173913043,-421.0
base_plus_level_flow,tune,0.075,69.0,527.0,7.63768115942029,0.855072463768116,-256.0
base_plus_level_flow,tune,0.1,42.0,441.0,10.5,0.8571428571428571,-84.0
base_plus_level_flow,tune,0.125,19.0,131.0,6.894736842105263,0.7368421052631579,-79.0
base_plus_level_flow,tune,0.15,7.0,-67.0,-9.571428571428571,0.2857142857142857,-127.0
base_plus_level_flow,test,-0.02,28948.0,-83213.0,-2.874568191239464,0.2879646262263369,-84078.0
base_plus_level_flow,test,0.0,21508.0,-78193.0,-3.6355309652222427,0.26139111028454526,-78889.0
base_plus_level_flow,test,0.01,17696.0,-74280.0,-4.197558770343581,0.20840867992766726,-74845.0
base_plus_level_flow,test,0.02,15313.0,-68416.0,-4.467837784888657,0.15718670410762098,-68818.0
base_plus_level_flow,test,0.03,13682.0,-65266.0,-4.770209033766993,0.12001169419675486,-65735.0
base_plus_level_flow,test,0.04,12307.0,-59107.0,-4.8027139026570245,0.07946697001706346,-59527.0
base_plus_level_flow,test,0.05,10959.0,-54281.0,-4.953097910393284,0.046080846792590564,-54598.0
base_plus_level_flow,test,0.06,9909.0,-48554.0,-4.8999899081642955,0.027550711474417195,-49095.0
base_plus_level_flow,test,0.075,8354.0,-38501.0,-4.60869044768973,0.019032798659324876,-39027.0
base_plus_level_flow,test,0.1,6317.0,-29483.0,-4.667247110970397,0.005382301725502612,-29508.0
base_plus_level_flow,test,0.125,4503.0,-21854.0,-4.85320897179658,0.0017765933821896514,-21854.0
base_plus_level_flow,test,0.15,3066.0,-14692.0,-4.79191128506197,0.00228310502283105,-14692.0
