feature,gain,split
trade_900s_price_momentum,27707.63948148489,114
trade_last_yes_price,23327.519803712144,150
no_bid,14808.710470676422,47
trade_last_no_price,4249.676528930664,16
hour_utc,2770.1809746026993,159
trade_900s_yes_taker_share,1707.689795076847,147
trade_900s_count,1206.9466494321823,90
trade_300s_signal_side_vwap_edge,1199.9292499125004,123
trade_900s_net_yes_pressure,1179.3134364634752,77
trade_60s_yes_taker_vol,911.1311572864652,100
trade_300s_net_yes_pressure,804.65658223629,47
trade_900s_avg_size,736.9446805119514,64
trade_900s_signal_side_pressure,685.8724145293236,86
trade_300s_price_momentum,670.3739800602198,142
trade_300s_avg_size,640.4792726710439,61
trade_300s_entry_vs_vwap,638.5525792241096,61
trade_300s_vwap_yes,627.700470559299,61
trade_300s_count,558.1932774782181,50
trade_60s_price_momentum,547.6510132057592,78
trade_900s_no_taker_vol,439.7224692367017,53
trade_pressure_accel_30s_vs_5m,422.9060275256634,58
trade_900s_yes_taker_vol,393.9891918748617,38
day_of_week_utc,383.1305413246155,38
trade_60s_entry_vs_vwap,377.7325485944748,47
trade_900s_signal_side_vwap_edge,362.0560318529606,58
trade_300s_no_taker_vol,360.6128025650978,38
trade_30s_avg_size,347.8883398771286,53
entry_cost,333.78767228126526,46
cb_mid_cents,304.49266934394836,51
trade_300s_yes_taker_share,294.2490237504244,52
floor_strike_cents,272.7578890323639,38
trade_300s_yes_taker_vol,252.01531839370728,31
trade_60s_vwap_no,248.02647185325623,18
trade_900s_vwap_yes,204.16569808125496,45
tte_s,190.94910742342472,50
tick_join_lag_ms,177.89010000228882,26
trade_300s_vwap_no,169.6415342092514,21
trade_30s_signal_side_vwap_edge,161.94767244160175,29
trade_60s_volume,155.44043753203005,23
trade_60s_avg_size,152.34449093043804,24
yes_ask,139.51301968097687,18
trade_60s_no_taker_vol,120.1909693479538,17
trade_30s_price_momentum,114.6660353988409,23
trade_900s_vwap_no,113.21644115447998,19
trade_60s_count,101.83118009567261,12
trade_60s_signal_side_vwap_edge,101.7417935281992,35
trade_60s_yes_taker_share,100.67405015230179,18
trade_300s_volume,93.68950200080872,16
trade_900s_volume,90.62985084950924,17
trade_30s_vwap_yes,87.08492642641068,22
trade_60s_vwap_yes,83.6716855764389,14
trade_30s_net_yes_pressure,80.66502022743225,21
trade_last_age_s,79.5143171697855,24
trade_volume_burst_30s_vs_5m,78.88223858177662,21
trade_900s_entry_vs_vwap,74.47685366868973,22
trade_30s_no_taker_vol,72.37688571214676,16
trade_300s_signal_side_pressure,68.62952488660812,13
volume,61.16143238544464,10
trade_30s_yes_taker_share,55.59262037277222,17
kalshi_spread,52.878520488739014,9
trade_30s_yes_taker_vol,43.14389427006245,16
trade_30s_entry_vs_vwap,41.253083407878876,8
trade_60s_signal_side_pressure,35.749200224876404,9
signal_rvol_5m_microbps,34.906479835510254,6
trade_30s_vwap_no,33.73126709461212,7
trade_60s_net_yes_pressure,29.781180143356323,7
trade_30s_volume,26.430259943008423,9
trade_staleness_penalty,26.259083837270737,14
yes_bid,21.425340056419373,4
trade_count_burst_30s_vs_5m,19.108021095395088,10
signal_rvol_1m_microbps,12.585939884185791,3
trade_30s_signal_side_pressure,5.693970084190369,2
market_implied_yes_ask,4.242909908294678,2
trade_30s_count,2.774440050125122,1
no_ask,2.310610055923462,1
level,1.673348993062973,3
tte_bucket,0.32437199354171753,1
asset_id,0.0,0
has_rti,0.0,0
has_tick,0.0,0
has_book_quote,0.0,0
has_valid_tte,0.0,0
has_valid_prices,0.0,0
has_valid_spread,0.0,0
rti_join_lag_ms,0.0,0
side_id,0.0,0
tick_spread,0.0,0
microprice_x1000,0.0,0
imbalance_x10000,0.0,0
yes_bid_qty,0.0,0
no_bid_qty,0.0,0
book_seq,0.0,0
signal_strike_dist_bps,0.0,0
rti_cents,0.0,0
rti_vs_strike_bps,0.0,0
rti_abs_vs_strike_bps,0.0,0
rti_change_5s,0.0,0
rti_change_15s,0.0,0
rti_change_30s,0.0,0
rti_change_60s,0.0,0
consolidated_bid_cents,0.0,0
consolidated_ask_cents,0.0,0
median_mid_cents,0.0,0
eligible_venues,0.0,0
published,0.0,0
utilized_depth_lots,0.0,0
dynamic_cap_lots,0.0,0
trade_has_prior,0.0,0
asset_XRP,0.0,0
asset_nan,0.0,0
source_signals,0.0,0
source_nan,0.0,0
quality_tier_B,0.0,0
quality_tier_nan,0.0,0
side_NO,0.0,0
side_YES,0.0,0
side_nan,0.0,0
