feature,gain,split
trade_900s_price_momentum,28375.282315775752,101
trade_last_yes_price,24263.764665961266,108
no_bid,15034.826353251934,48
hour_utc,2951.824209868908,150
trade_last_no_price,2067.2587435245514,19
trade_900s_yes_taker_share,1377.3782416582108,114
plv_900s_below_volume,1234.0604952573776,75
trade_300s_signal_side_vwap_edge,1121.859223484993,92
plv_900s_total_volume,1108.4178285896778,97
trade_900s_net_yes_pressure,919.6471731066704,63
trade_900s_count,916.8733050525188,70
plv_900s_above_volume,872.2870692238212,70
plv_900s_total_count,814.3786484003067,78
trade_900s_signal_side_pressure,702.0873990058899,55
trade_60s_price_momentum,700.8731013759971,64
trade_60s_yes_taker_vol,515.8358178287745,70
trade_300s_count,495.99584770202637,44
trade_900s_no_taker_vol,478.8708711043,50
trade_300s_vwap_yes,477.0267194509506,41
trade_300s_price_momentum,419.1388365048915,69
trade_300s_avg_size,411.32525515556335,30
trade_900s_avg_size,382.97009897232056,29
cb_mid_cents,368.64751946926117,45
trade_60s_entry_vs_vwap,368.10029619932175,41
plv_300s_total_count,360.468190908432,39
trade_300s_entry_vs_vwap,291.274090886116,41
trade_900s_vwap_yes,272.3047876358032,39
yes_ask,271.84713983535767,14
plv_300s_total_volume,262.07710099220276,26
plv_900s_opp_taker_near_volume,246.06140232086182,11
trade_60s_vwap_yes,244.9343603849411,24
plv_30s_below_volume,213.7963581085205,23
entry_cost,207.04093248397112,42
trade_volume_burst_30s_vs_5m,197.27723932266235,14
trade_30s_avg_size,195.49402940273285,25
trade_300s_net_yes_pressure,192.27612948417664,20
plv_900s_above_volume_share,179.6933969259262,25
plv_900s_below_volume_share,171.3684566942975,26
tte_s,170.56181594729424,45
trade_300s_yes_taker_vol,162.56151843070984,28
trade_60s_count,160.31581163406372,16
trade_300s_no_taker_vol,159.98004917544313,30
trade_900s_signal_side_vwap_edge,159.52373261004686,21
trade_300s_yes_taker_share,153.84685849957168,32
trade_60s_avg_size,151.52987371385098,19
trade_900s_vwap_no,124.71749602258205,18
trade_900s_entry_vs_vwap,121.59416079521179,17
trade_30s_no_taker_vol,115.4627902507782,19
volume,101.77064943313599,13
trade_pressure_accel_30s_vs_5m,91.27509433031082,13
day_of_week_utc,90.07624912261963,12
trade_300s_signal_side_pressure,88.75648999214172,14
plv_60s_net_signal_pressure_near,80.52369976043701,6
trade_60s_yes_taker_share,75.16420415043831,11
trade_900s_yes_taker_vol,73.82543444633484,15
trade_300s_volume,71.67012260854244,11
floor_strike_cents,71.53981113433838,10
trade_count_burst_30s_vs_5m,62.30775062739849,17
plv_60s_below_volume,59.7626188993454,13
trade_30s_price_momentum,58.301954539492726,16
trade_300s_vwap_no,57.98928999900818,5
trade_30s_signal_side_vwap_edge,57.93495965003967,12
trade_60s_signal_side_vwap_edge,56.07772561907768,15
plv_300s_below_volume_share,53.63218903541565,11
trade_last_age_s,37.794299721717834,8
trade_60s_net_yes_pressure,37.40857642889023,6
trade_staleness_penalty,34.04464492574334,11
trade_30s_net_yes_pressure,31.408549964427948,13
trade_60s_volume,29.26203314960003,4
plv_300s_near_count,28.39558970928192,9
trade_60s_vwap_no,26.782710552215576,4
tick_join_lag_ms,26.71893447637558,6
trade_30s_yes_taker_share,25.644099950790405,4
plv_60s_total_count,24.070930242538452,3
plv_900s_near_volume_share,23.499000549316406,5
trade_30s_signal_side_pressure,22.5052899569273,9
market_implied_yes_ask,19.872299194335938,1
trade_60s_signal_side_pressure,16.80533993244171,8
plv_900s_near_count,16.30758047103882,3
trade_30s_volume,15.75166717171669,4
plv_60s_signal_taker_near_volume,13.696100234985352,1
trade_60s_no_taker_vol,12.515750169754028,4
plv_900s_net_signal_pressure_near,12.151685908436775,14
plv_300s_near_volume,10.843410015106201,3
side_id,10.306099891662598,1
plv_900s_near_volume,9.469579162076116,3
trade_30s_yes_taker_vol,9.227611184120178,10
trade_900s_volume,8.88073992729187,3
plv_300s_signal_taker_near_volume,8.415220022201538,3
trade_30s_vwap_no,8.365938022732735,7
plv_300s_below_volume,7.995799899101257,2
trade_30s_vwap_yes,7.861138880252838,3
