variant,split,edge_threshold,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
base_plus_level_flow,tune,-0.02,965.0,2572.0,2.665284974093264,0.9212435233160622,-1300.0
base_plus_level_flow,tune,0.0,813.0,2901.0,3.5682656826568264,0.95079950799508,-1028.0
base_plus_level_flow,tune,0.01,716.0,2556.0,3.569832402234637,0.9441340782122905,-1035.0
base_plus_level_flow,tune,0.02,633.0,2477.0,3.9131121642969986,0.9447077409162717,-1035.0
base_plus_level_flow,tune,0.03,537.0,2882.0,5.366852886405959,0.9534450651769087,-846.0
base_plus_level_flow,tune,0.04,442.0,2805.0,6.346153846153846,0.9547511312217195,-753.0
base_plus_level_flow,tune,0.05,277.0,2712.0,9.790613718411553,0.9638989169675091,-122.0
base_plus_level_flow,tune,0.06,194.0,2094.0,10.793814432989691,0.9484536082474226,-122.0
base_plus_level_flow,tune,0.075,139.0,1631.0,11.733812949640289,0.935251798561151,-122.0
base_plus_level_flow,tune,0.1,65.0,907.0,13.953846153846154,0.9230769230769231,-92.0
base_plus_level_flow,tune,0.125,31.0,407.0,13.129032258064516,0.8387096774193549,-92.0
base_plus_level_flow,tune,0.15,11.0,92.0,8.363636363636363,0.5454545454545454,-92.0
base_plus_level_flow,test,-0.02,31942.0,-135003.0,-4.226504289023856,0.6749107757811033,-192593.0
base_plus_level_flow,test,0.0,16781.0,-37613.0,-2.241403968774209,0.8422024909123413,-86944.0
base_plus_level_flow,test,0.01,9920.0,-9645.0,-0.9722782258064516,0.8311491935483871,-47419.0
base_plus_level_flow,test,0.02,6584.0,8973.0,1.3628493317132442,0.8197144592952612,-19124.0
base_plus_level_flow,test,0.03,4552.0,8649.0,1.9000439367311073,0.8536906854130053,-13873.0
base_plus_level_flow,test,0.04,3008.0,4378.0,1.4554521276595744,0.8357712765957447,-11641.0
base_plus_level_flow,test,0.05,1631.0,2273.0,1.3936235438381361,0.773758430410791,-6036.0
base_plus_level_flow,test,0.06,983.0,3467.0,3.5269582909460833,0.7080366225839267,-1293.0
base_plus_level_flow,test,0.075,467.0,-51.0,-0.10920770877944326,0.4817987152034261,-1539.0
base_plus_level_flow,test,0.1,296.0,-452.0,-1.527027027027027,0.34797297297297297,-989.0
base_plus_level_flow,test,0.125,179.0,-353.0,-1.9720670391061452,0.26256983240223464,-779.0
base_plus_level_flow,test,0.15,148.0,-256.0,-1.7297297297297298,0.24324324324324326,-726.0
